date,type,type_short,label,amount,category,sub_category,comments
2020/12/03,,," REMBOURST CB DU 021220 GOOGLE  GOOGLE  CARTE   4974XXXXXXXX8560                GBR     4,50EUR","4,50 €",Abonnements,Abonnement applis,
2021/02/22,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 190221 GOOGLE  GOOGLE  CARTE   4974XXXXXXXX7803                GBR    26,99EUR","-26,99 €",Abonnements,Abonnement applis,
2021/03/01,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 260221 GOOGLE  GOOGLE  CARTE   4974XXXXXXXX7803                GBR    31,99EUR","-31,99 €",Abonnements,Abonnement applis,
2021/05/12,,," REMBOURST CB DU 110521 GOOGLE  GOOGLE  CARTE   4974XXXXXXXX7803                GBR    26,99EUR","26,99 €",Abonnements,Abonnement applis,
2021/05/31,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 300521 GOOGLE PAYMENT  CARTE   4974XXXXXXXX7803                IRL    14,99EUR","-14,99 €",Abonnements,Abonnement applis,
2021/06/16,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 140621 MOLLIE *KOLAB N CARTE   4974XXXXXXXX7803                CHE   100,00CHF+COMMISSION : 3,56","-95,55 €",Abonnements,Abonnement cloud,
2021/08/06,PAIEMENT CB,FACTURE CARTE,"FACTURE CARTE DU 040821 MOLLIE *KOLAB N CARTE   4974XXXXXXXX7803                CHE   100,00CHF+COMMISSION : 3,60","-96,89 €",Abonnements,Abonnement cloud,
2020/09/24,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/240920 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1241242799,"-19,99 €",Abonnements,Abonnement Mobile,
2020/10/21,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/211020 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1256226186,"-22,99 €",Abonnements,Abonnement Mobile,
2020/11/23,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/231120 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1271712041,"-19,99 €",Abonnements,Abonnement Mobile,
2020/12/23,PRELEVEMENT,PRLV SEPA,PRLV SEPA FREE MOBILE ECH/231220 ID EMETTEUR/FR07ZZZ591778 MDT/++FM-18197402-1 REF/FMPMT-1288270134,"-19,99 €",Abonnements,Abonnement Mobile,
